query,response
"Почему мальчик кричал ""С добрым утром!"" из окна всем прохожим?","Шла вчера я по Садовой,
Так была удивлена —
Паренек белоголовый
Закричал мне из окна:
— С добрым утром! С добрым утром!
Я спросила: — Это мне?
— Улыбнулся он в окне,
Закричал еще кому-то:
— С добрым утром! С добрым утром!
Малышам и взрослым людям
Паренек махал рукой,
С ним теперь знакомы будем:
Это Вовка — есть такой!"
"Расскажи мне, что происходит зимой в лесу, когда выпадает снег.","Пушистый снег Покрыл дремучий лес,
Уснула тихим сном земля,
Померкнул свод небес.
Сегодня отдых от труда,
Забвенье всех забот...
Зажжётся первая звезда —
И к нам Христос сойдёт.
Сойдёт, чтоб в каждую семью
Внести покой и мир,
Всем благость проявить свою,
Устроить детям пир."
"Бабушка, как вырастают огурцы?","Погляди на огурец,
Огурец – такой хитрец!
Ловко одевается,
Под листьями скрывается.
Разгребу рукой листву,
С грядки огурец сорву.
Пополам разломлю,
Густо-густо посолю.
Сам я огурцы ращу,
Приходите – угощу!"
"А расскажи стихотворение про того озорного котёнка, который всё хочет поймать.","Если кто-то с места сдвинется,
На него котенок кинется.
Если что-нибудь покатится,
За него котенок схватится.
Прыг-скок! Цап-царап!
Не уйдешь из наших лап!"
"А почему санки сами скользят вниз, но не могут сами подняться наверх?","Съезжают санки сами вниз,
Но есть у них один каприз.
Чтоб с горки мчались сани,
Мы вверх их тащим сами."
"Мама, можно мне пойти порыбачить в пруду?","Стой, плотва и караси!
И пощады не проси!
Я хозяйка здесь, в пруду.
На охоту я иду."
Почему кабан ест желуди в лесу?,"Эй, кабанчик! – крикнул дуб. –
Почему ты рыщешь тут?
- Ах, дубочек, как ты глуп –
Здесь же желуди растут!"
"Мамочка, а как я могу выразить тебе свою любовь в твой день рождения?","Ты, мама, моя лучшая подруга!
И от тебя секретов просто нет,
Мы столько знаем друг о друге,
Ведь вместе мы уж много лет.
Сегодня, мама, праздник твой,
За все хорошее тебя благодарю,
Пускай в душе твоей царит покой,
Здоровья, счастья, я тебя люблю!"
"Мама, почему сегодня утром Вовочка так важничал и наряжался, будто на праздник шёл?","Первоклассник, первоклассник
Нарядился, как на праздник!
Даже в лужу не зашёл:
Погляделся и пошёл.
Уши вымыты до глянца,
Алый гриб на крышке ранца,
Да и сам он как грибок
Из-под кепки смотрит вбок:
Все ли видят? Все ли знают?
Все ль от зависти вздыхают?"
"Мама, расскажи мне, кто такие Бука и Бяка и в чём их различие?","Ах, многие считают,
Что Бука - это Бяка,
А это совершенно
Неправильно, однако!
Да, нас нетрудно спутать,
Но в том-то вся и штука,
Что Бяка - это Бяка,
А Бука - это Бука.
Хотя не спорю, всякий
Порою смотрит букой,
Хотя не скрою, всякий
Порой бывает бякой,
Но путать Буку с Бякой
А также Бяку с Букой
Всем детям строго-настрого
Запрещено наукой!"
